"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 14 19:41:00 UTC 2022","Thu Apr 14 19:41:12 UTC 2022","12120","","'api request from wdio","","'api request from wdio","check Email","check Email",""
"passed","Thu Apr 14 19:41:00 UTC 2022","Thu Apr 14 19:41:07 UTC 2022","6530","","testing github","","testing github","allure","allure",""
"passed","Thu Apr 14 18:53:15 UTC 2022","Thu Apr 14 18:53:45 UTC 2022","29252","","'api request from wdio","","'api request from wdio","check Email","check Email",""
"passed","Thu Apr 14 19:41:08 UTC 2022","Thu Apr 14 19:41:10 UTC 2022","1740","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Apr 14 18:53:15 UTC 2022","Thu Apr 14 18:53:24 UTC 2022","8939","","testing github","","testing github","allure","allure",""
"passed","Thu Apr 14 18:53:48 UTC 2022","Thu Apr 14 18:53:54 UTC 2022","5856","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
