"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 14 13:05:46 EEST 2022","Thu Apr 14 13:05:53 EEST 2022","7093","","'api request from wdio","","'api request from wdio","check Email","check Email",""
"passed","Thu Apr 14 13:05:46 EEST 2022","Thu Apr 14 13:05:51 EEST 2022","5284","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
